Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Manhattan,All Students,2009,4 year August,16291,10996,67.5,10560,64.8,96,2966,18.2,27,7594,46.6,69.1,436,2.7,4,3429,21,1580,9.7,141,0.9,134,0.8
Manhattan,All Students,2008,4 year August,16469,10972,66.6,10565,64.2,96.3,3020,18.3,27.5,7545,45.8,68.8,407,2.5,3.7,3317,20.1,1804,11,189,1.1,174,1.1
Manhattan,All Students,2007,4 year August,16198,10894,67.3,9538,58.9,87.6,3018,18.6,27.7,6520,40.3,59.8,1356,8.4,12.4,2966,18.3,1819,11.2,211,1.3,288,1.8
Manhattan,All Students,2006,4 year August,16416,10947,66.7,8993,54.8,82.2,2791,17,25.5,6202,37.8,56.7,1954,11.9,17.8,3194,19.5,1674,10.2,220,1.3,376,2.3
Manhattan,All Students,2005,4 year August,15843,10373,65.5,7868,49.7,75.9,2705,17.1,26.1,5163,32.6,49.8,2504,15.8,24.1,3318,20.9,1597,10.1,221,1.4,334,2.1
Manhattan,All Students,2015,4 year June,15274,11504,75.3,10753,70.4,93.5,3507,23,30.5,7246,47.4,63,751,4.9,6.5,2518,16.5,1086,7.1,27,0.2,139,0.9
Manhattan,All Students,2014,4 year June,15521,11445,73.7,10732,69.1,93.8,3495,22.5,30.5,7237,46.6,63.2,713,4.6,6.2,2796,18,1084,7,53,0.3,138,0.9
Manhattan,All Students,2013,4 year June,15280,10996,72,10344,67.7,94.1,3373,22.1,30.7,6971,45.6,63.4,652,4.3,5.9,2987,19.5,1117,7.3,56,0.4,115,0.8
Manhattan,All Students,2012,4 year June,15569,11196,71.9,10659,68.5,95.2,3186,20.5,28.5,7473,48,66.7,537,3.4,4.8,3016,19.4,1146,7.4,80,0.5,116,0.7
Manhattan,All Students,2011,4 year June,15360,10634,69.2,10111,65.8,95.1,3045,19.8,28.6,7066,46,66.4,523,3.4,4.9,3311,21.6,1189,7.7,125,0.8,88,0.6
Manhattan,All Students,2010,4 year June,15741,10487,66.6,10026,63.7,95.6,3030,19.2,28.9,6996,44.4,66.7,461,2.9,4.4,3729,23.7,1340,8.5,93,0.6,85,0.5
Manhattan,All Students,2009,4 year June,16291,10321,63.4,9950,61.1,96.4,2932,18,28.4,7018,43.1,68,371,2.3,3.6,4096,25.1,1581,9.7,146,0.9,134,0.8
Manhattan,All Students,2008,4 year June,16469,10338,62.8,9988,60.6,96.6,3004,18.2,29.1,6984,42.4,67.6,350,2.1,3.4,3934,23.9,1815,11,195,1.2,174,1.1
Manhattan,All Students,2007,4 year June,16198,10149,62.7,9067,56,89.3,2988,18.4,29.4,6079,37.5,59.9,1082,6.7,10.7,3681,22.7,1846,11.4,220,1.4,279,1.7
Manhattan,All Students,2006,4 year June,16416,10411,63.4,8715,53.1,83.7,2781,16.9,26.7,5934,36.1,57,1696,10.3,16.3,3719,22.7,1684,10.3,220,1.3,377,2.3
Manhattan,All Students,2005,4 year June,15843,9816,62,7623,48.1,77.7,2673,16.9,27.2,4950,31.2,50.4,2192,13.8,22.3,3874,24.5,1597,10.1,222,1.4,334,2.1
Manhattan,All Students,2004,4 year June,15127,8780,58,6449,42.6,73.5,2811,18.6,32,3638,24,41.4,2331,15.4,26.5,4243,28,1842,12.2,207,1.4,54,0.4
Manhattan,All Students,2003,4 year June,13879,7613,54.9,5499,39.6,72.2,2527,18.2,33.2,2972,21.4,39,2114,15.2,27.8,4240,30.5,1729,12.5,184,1.3,84,0.6
Manhattan,All Students,2002,4 year June,13463,7746,57.5,5497,40.8,71,1872,13.9,24.2,3625,26.9,46.8,2259,16.8,29.2,3561,26.5,1743,12.9,140,1,170,1.3
Manhattan,All Students,2001,4 year June,12670,7480,59,4963,39.2,66.4,1851,14.6,24.7,3112,24.6,41.6,2519,19.9,33.7,2829,22.3,1962,15.5,332,2.6,65,0.5
Manhattan,All Students,2014,5 year August,15583,12581,80.7,11560,74.2,91.9,3524,22.6,28,8036,51.6,63.9,1021,6.6,8.1,943,6.1,1750,11.2,119,0.8,190,1.2
Manhattan,All Students,2013,5 year August,15406,12217,79.3,11285,73.3,92.4,3424,22.2,28,7861,51,64.3,932,6,7.6,1193,7.7,1695,11,112,0.7,186,1.2
Manhattan,All Students,2012,5 year August,15633,12417,79.4,11650,74.5,93.8,3211,20.5,25.9,8439,54,68,767,4.9,6.2,1265,8.1,1656,10.6,128,0.8,157,1
Manhattan,All Students,2011,5 year August,15461,12050,77.9,11262,72.8,93.5,3067,19.8,25.5,8195,53,68,788,5.1,6.5,1283,8.3,1768,11.4,212,1.4,129,0.8
Manhattan,All Students,2010,5 year August,15832,12102,76.4,11381,71.9,94,3083,19.5,25.5,8298,52.4,68.6,721,4.6,6,1489,9.4,1949,12.3,157,1,120,0.8
